"PVWatts: Hourly PV Performance Data"
"Requested Location:","1354 wright ave., 94087"
"City:","MOUNTAIN VIEW MOFFETT FLD NAS"
"State:","CA" 
"Lat (deg N):","37.4"
"Long (deg W):","122.05"
"Elev (m): ","12"
"Array Type:","Fixed (roof mount)"
"Array Tilt (deg):","22.6"
"Array Azimuth (deg):","180"
"DC Rating (kW):","10"
"DC to AC Derate Factor:","0.77"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.15"
"Cost of Electricity Generated by System ($/kWh):","0.21"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","1","0","0","8","2.1","0","8","0","0"
"1","1","2","0","0","8","0","0","8","0","0"
"1","1","3","0","0","7","2.1","0","7","0","0"
"1","1","4","0","0","8","2.6","0","8","0","0"
"1","1","5","0","0","7","1.5","0","7","0","0"
"1","1","6","0","0","7","0","0","7","0","0"
"1","1","7","0","0","6","2.6","0","6","0","0"
"1","1","8","67","2","7","2.6","20.318","5.209","19.192","0"
"1","1","9","406","48","8","2.1","235.962","13.193","1965.346","1719.248"
"1","1","10","501","121","11","3.6","444.601","21.905","3732.219","3421.024"
"1","1","11","18","144","12","3.1","155.1","16.208","1355.186","1154.549"
"1","1","12","214","234","12","0","433.773","30.52","3530.283","3224.68"
"1","1","13","236","226","13","3.1","443.368","25.207","3706.956","3396.465"
"1","1","14","0","74","13","1.5","69.473","15.79","338.05","84.796"
"1","1","15","264","195","11","4.6","394.856","19.041","3389.704","3088.008"
"1","1","16","0","97","12","3.6","99.428","14.225","697.584","372.332"
"1","1","17","0","17","12","2.1","15.91","10.593","18.169","0"
"1","1","18","0","0","10","2.1","0","10","0","0"
"1","1","19","0","0","9","1.5","0","9","0","0"
"1","1","20","0","0","9","2.1","0","9","0","0"
"1","1","21","0","0","9","0","0","9","0","0"
"1","1","22","0","0","8","2.6","0","8","0","0"
"1","1","23","0","0","8","2.6","0","8","0","0"
"1","2","0","0","0","8","2.1","0","8","0","0"
"1","2","1","0","0","7","3.1","0","7","0","0"
"1","2","2","0","0","8","3.6","0","8","0","0"
"1","2","3","0","0","9","2.6","0","9","0","0"
"1","2","4","0","0","8","2.1","0","8","0","0"
"1","2","5","0","0","8","2.1","0","8","0","0"
"1","2","6","0","0","8","3.1","0","8","0","0"
"1","2","7","0","0","8","2.6","0","8","0","0"
"1","2","8","0","2","9","4.1","1.865","7.122","0.254","0"
"1","2","9","10","58","8","4.1","61.619","7.62","273.172","54.576"
"1","2","10","0","53","9","4.1","49.695","8.534","178.966","22.489"
"1","2","11","0","108","9","4.1","103.834","9.906","776.375","462.521"
"1","2","12","0","116","9","4.6","111.219","10.203","889.502","609.096"
"1","2","13","0","106","9","3.1","100.886","10.184","731.963","410.483"
"1","2","14","0","74","9","0","69.474","10.053","347.323","89.656"
"1","2","15","0","84","9","3.1","79.852","9.39","460.264","159.713"
"1","2","16","0","86","9","3.1","86.169","9.619","535.392","217.434"
"1","2","17","0","0","9","0","0","9","0","0"
"1","2","18","0","0","8","2.1","0","8","0","0"
"1","2","19","0","0","8","2.1","0","8","0","0"
"1","2","20","0","0","8","1.5","0","8","0","0"
"1","2","21","0","0","8","3.1","0","8","0","0"
"1","2","22","0","0","8","0","0","8","0","0"
"1","2","23","0","0","7.5","0","0","7.5","0","0"
"1","3","0","0","0","7.1","0","0","7.1","0","0"
"1","3","1","0","0","6.8","0","0","6.8","0","0"
"1","3","2","0","0","6.6","0","0","6.6","0","0"
"1","3","3","0","0","6.3","0","0","6.3","0","0"
"1","3","4","0","0","6","0","0","6","0","0"
"1","3","5","0","0","5.9","0","0","5.9","0","0"
"1","3","6","0","0","5.8","0","0","5.8","0","0"
"1","3","7","0","0","6","0","0","6","0","0"
"1","3","8","48","2","6","0","16.109","1.724","12.851","0"
"1","3","9","105","66","6.9","0","119.351","8.606","968.823","723.881"
"1","3","10","51","136","8","0","176.582","14.82","1548.221","1331"
"1","3","11","257","192","9","1.5","410.256","21.67","3490.834","3186.323"
"1","3","12","119","233","10","1.5","346.973","22.027","2947.181","2658.577"
"1","3","13","67","228","10","3.1","300.167","17.889","2601.592","2325.055"
"1","3","14","284","247","11","3.6","496.846","23.531","4188.937","3864.412"
"1","3","15","0","76","11","4.1","71.654","12.668","364.97","99.279"
"1","3","16","205","151","10","2.6","284.227","16.61","2438.788","2168.838"
"1","3","17","0","0","9","3.1","0","9","0","0"
"1","3","18","0","0","9","3.6","0","9","0","0"
"1","3","19","0","0","8","3.1","0","8","0","0"
"1","3","20","0","0","8","4.1","0","8","0","0"
"1","3","21","0","0","7","2.1","0","7","0","0"
"1","3","22","0","0","8","0","0","8","0","0"
"1","3","23","0","0","8","1.5","0","8","0","0"
"1","4","0","0","0","8","1.5","0","8","0","0"
"1","4","1","0","0","6","0","0","6","0","0"
"1","4","2","0","0","7","1.5","0","7","0","0"
"1","4","3","0","0","6","1.5","0","6","0","0"
"1","4","4","0","0","7","0","0","7","0","0"
"1","4","5","0","0","7","1.5","0","7","0","0"
"1","4","6","0","0","7","1.5","0","7","0","0"
"1","4","7","0","0","7","2.6","0","7","0","0"
"1","4","8","64","2","7","1.5","19.382","4.769","17.438","0"
"1","4","9","175","67","8","1.5","154.964","10.787","1333.562","1134.927"
"1","4","10","56","135","9","1.5","178.106","13.568","1570.432","1351.445"
"1","4","11","0","129","11","0","125.981","16.375","1099.878","924.912"
"1","4","12","36","204","11","2.6","246.34","16.745","2146.859","1890.667"
"1","4","13","0","81","11","1.5","76.079","12.644","411.489","126.996"
"1","4","14","0","74","11","0","69.474","11.591","344.845","88.344"
"1","4","15","0","69","11","2.1","64.757","10.986","300.456","66.478"
"1","4","16","0","105","11","2.1","108.385","12.373","836.222","537.553"
"1","4","17","0","0","9","0","0","9","0","0"
"1","4","18","0","0","9","2.1","0","9","0","0"
"1","4","19","0","0","9","1.5","0","9","0","0"
"1","4","20","0","0","8","1.5","0","8","0","0"
"1","4","21","0","0","8","2.6","0","8","0","0"
"1","4","22","0","0","8","1.5","0","8","0","0"
"1","4","23","0","0","7","2.6","0","7","0","0"
"1","5","0","0","0","7","3.1","0","7","0","0"
"1","5","1","0","0","7","2.6","0","7","0","0"
"1","5","2","0","0","8","3.6","0","8","0","0"
"1","5","3","0","0","8","2.1","0","8","0","0"
"1","5","4","0","0","8","1.5","0","8","0","0"
"1","5","5","0","0","8","2.6","0","8","0","0"
"1","5","6","0","0","8","2.1","0","8","0","0"
"1","5","7","0","0","8","2.6","0","8","0","0"
"1","5","8","48","2","9","1.5","16.01","6.692","12.355","0"
"1","5","9","0","53","9","2.1","51.715","8.207","194.11","26.705"
"1","5","10","0","95","10","0","92.492","11.181","612.373","285.791"
"1","5","11","0","108","11","2.1","103.768","12.382","766.457","450.63"
"1","5","12","0","157","12","0","154.288","17.527","1339.575","1140.38"
"1","5","13","0","112","12","1.5","106.926","14.107","807.228","500.498"
"1","5","14","0","74","11","2.1","69.475","11.357","345.226","88.545"
"1","5","15","0","137","11","2.6","136.611","13.169","1211.009","1024.311"
"1","5","16","65","119","11","1.5","164.964","14.999","1437.347","1229.374"
"1","5","17","0","0","11","0","0","11","0","0"
"1","5","18","0","0","10","2.1","0","10","0","0"
"1","5","19","0","0","10","1.5","0","10","0","0"
"1","5","20","0","0","9","0","0","9","0","0"
"1","5","21","0","0","9","1.5","0","9","0","0"
"1","5","22","0","0","8","0","0","8","0","0"
"1","5","23","0","0","8","2.1","0","8","0","0"
"1","6","0","0","0","6","0","0","6","0","0"
"1","6","1","0","0","6","1.5","0","6","0","0"
"1","6","2","0","0","7","0","0","7","0","0"
"1","6","3","0","0","6","0","0","6","0","0"
"1","6","4","0","0","7","0","0","7","0","0"
"1","6","5","0","0","7","0","0","7","0","0"
"1","6","6","0","0","7","1.5","0","7","0","0"
"1","6","7","0","0","8","0","0","8","0","0"
"1","6","8","46","2","8","0","15.466","3.78","11.717","0"
"1","6","9","20","56","8","1.5","66.367","7.58","313.753","72.702"
"1","6","10","11","130","8","1.5","138.13","10.528","1238.657","1049.177"
"1","6","11","76","188","9","0","256.398","19.795","2201.795","1942.796"
"1","6","12","459","200","9","2.1","607.045","27.004","5029.788","4673.968"
"1","6","13","720","129","11","1.5","746.529","37.006","5873.051","5471.482"
"1","6","14","777","102","11","1.5","723.434","37.072","5689.346","5299.184"
"1","6","15","577","123","12","0","530.293","39.864","4108.462","3786.406"
"1","6","16","506","100","12","1.5","377.778","25.777","3059.58","2767.469"
"1","6","17","0","0","11","1.5","0","11","0","0"
"1","6","18","0","0","11","0","0","11","0","0"
"1","6","19","0","0","11","0","0","11","0","0"
"1","6","20","0","0","11","2.6","0","11","0","0"
"1","6","21","0","0","11","2.6","0","11","0","0"
"1","6","22","0","0","10","2.6","0","10","0","0"
"1","6","23","0","0","11","4.1","0","11","0","0"
"1","7","0","0","0","10.4","5.1","0","10.4","0","0"
"1","7","1","0","0","10","6.2","0","10","0","0"
"1","7","2","0","0","9","5.1","0","9","0","0"
"1","7","3","0","0","9","5.7","0","9","0","0"
"1","7","4","0","0","9","8.7","0","9","0","0"
"1","7","5","0","0","10","12.3","0","10","0","0"
"1","7","6","0","0","10","8.2","0","10","0","0"
"1","7","7","0","0","10","5.1","0","10","0","0"
"1","7","8","0","1","10","7.7","0.932","8.708","0.063","0"
"1","7","9","105","66","11","4.6","118.816","12.099","943.737","686.509"
"1","7","10","0","100","11","8.7","97.853","11.609","684.043","357.817"
"1","7","11","0","129","12","5.1","125.843","13.487","1113.881","937.387"
"1","7","12","83","232","12","6.2","317.067","17.324","2755.564","2473.373"
"1","7","13","97","243","14","1.5","342.181","25.208","2860.93","2575.137"
"1","7","14","388","200","13","5.7","529.098","23.684","4457.463","4124.153"
"1","7","15","314","168","12","3.1","403.945","23.516","3405.932","3103.782"
"1","7","16","72","125","11","3.6","175.921","15.333","1530.283","1314.509"
"1","7","17","0","0","12","1.5","0","12","0","0"
"1","7","18","0","0","12","2.1","0","12","0","0"
"1","7","19","0","0","11","4.1","0","11","0","0"
"1","7","20","0","0","11","2.6","0","11","0","0"
"1","7","21","0","0","11","3.6","0","11","0","0"
"1","7","22","0","0","11","4.1","0","11","0","0"
"1","7","23","0","0","11","5.1","0","11","0","0"
"1","8","0","0","0","11","4.1","0","11","0","0"
"1","8","1","0","0","10","2.1","0","10","0","0"
"1","8","2","0","0","10","2.1","0","10","0","0"
"1","8","3","0","0","9","0","0","9","0","0"
"1","8","4","0","0","9","0","0","9","0","0"
"1","8","5","0","0","9","4.1","0","9","0","0"
"1","8","6","0","0","9","2.1","0","9","0","0"
"1","8","7","0","0","9","3.1","0","9","0","0"
"1","8","8","46","2","10","4.6","15.373","8.545","11.279","0"
"1","8","9","50","65","9","5.1","89.717","9.391","558.08","236.611"
"1","8","10","113","145","10","5.7","231.144","13.63","2033.568","1783.521"
"1","8","11","23","173","12","4.6","190.492","15.567","1669.528","1442.995"
"1","8","12","54","212","13","5.7","269.609","17.734","2338.481","2072.951"
"1","8","13","532","202","12","4.6","676.26","27.436","5591.068","5206.667"
"1","8","14","314","220","13","4.6","497.871","25.355","4159.565","3835.949"
"1","8","15","6","148","13","3.6","152.409","17.066","1326.207","1128.26"
"1","8","16","22","116","12","3.1","131.539","14.283","1155.904","974.912"
"1","8","17","0","0","13","3.6","0","13","0","0"
"1","8","18","0","0","12","4.1","0","12","0","0"
"1","8","19","0","0","11","3.1","0","11","0","0"
"1","8","20","0","0","9","2.1","0","9","0","0"
"1","8","21","0","0","11","2.6","0","11","0","0"
"1","8","22","0","0","11","0","0","11","0","0"
"1","8","23","0","0","11","2.1","0","11","0","0"
"1","9","0","0","0","10","3.1","0","10","0","0"
"1","9","1","0","0","10","2.1","0","10","0","0"
"1","9","2","0","0","9","2.1","0","9","0","0"
"1","9","3","0","0","8","1.5","0","8","0","0"
"1","9","4","0","0","8","0","0","8","0","0"
"1","9","5","0","0","7","0","0","7","0","0"
"1","9","6","0","0","8","0","0","8","0","0"
"1","9","7","0","0","8","0","0","8","0","0"
"1","9","8","0","1","8","0","0.932","3.059","0.065","0"
"1","9","9","0","32","9","1.5","29.97","7.183","65.499","2.382"
"1","9","10","0","48","9","0","44.991","6.786","147.878","14.965"
"1","9","11","29","149","11","1.5","175.948","14.742","1548.139","1330.925"
"1","9","12","566","190","12","0","681.283","40.317","5265.345","4898.398"
"1","9","13","713","121","12","2.1","734.966","35.775","5819.93","5421.745"
"1","9","14","714","117","12","1.5","697.563","37.147","5483.723","5105.35"
"1","9","15","664","104","13","0","573.208","42.081","4387.765","4056.826"
"1","9","16","515","97","12","2.1","382.255","24.74","3115.704","2821.899"
"1","9","17","0","0","12","0","0","12","0","0"
"1","9","18","0","0","12","0","0","12","0","0"
"1","9","19","0","0","11","0","0","11","0","0"
"1","9","20","0","0","9","0","0","9","0","0"
"1","9","21","0","0","9","0","0","9","0","0"
"1","9","22","0","0","8","0","0","8","0","0"
"1","9","23","0","0","8","0","0","8","0","0"
"1","10","0","0","0","8","0","0","8","0","0"
"1","10","1","0","0","8","0","0","8","0","0"
"1","10","2","0","0","8","0","0","8","0","0"
"1","10","3","0","0","7","0","0","7","0","0"
"1","10","4","0","0","8","0","0","8","0","0"
"1","10","5","0","0","8","0","0","8","0","0"
"1","10","6","0","0","8","0","0","8","0","0"
"1","10","7","0","0","8","0","0","8","0","0"
"1","10","8","84","2","9","0","23.924","5.272","25.494","0.125"
"1","10","9","471","41","10","0","251.592","18.853","2024.822","1775.271"
"1","10","10","619","79","11.6","2.3","467.659","24.923","3858.876","3544.121"
"1","10","11","683","101","13","4.6","622.872","27.742","5141.693","4780.737"
"1","10","12","708","118","14.1","3.6","716.535","33.454","5743.59","5350.146"
"1","10","13","737","113","15","2.6","746.024","37.645","5849.124","5449.088"
"1","10","14","733","113","14","4.6","708.811","31.612","5736.318","5343.318"
"1","10","15","683","102","14","4.6","584.981","28.546","4809.235","4462.794"
"1","10","16","492","100","14","3.6","375.28","24.338","3068.685","2776.298"
"1","10","17","0","0","13","5.7","0","13","0","0"
"1","10","18","0","0","12","5.7","0","12","0","0"
"1","10","19","0","0","11","3.1","0","11","0","0"
"1","10","20","0","0","10","2.6","0","10","0","0"
"1","10","21","0","0","10","2.6","0","10","0","0"
"1","10","22","0","0","8","2.1","0","8","0","0"
"1","10","23","0","0","9","2.6","0","9","0","0"
"1","11","0","0","0","9","4.1","0","9","0","0"
"1","11","1","0","0","9","5.1","0","9","0","0"
"1","11","2","0","0","9","2.1","0","9","0","0"
"1","11","3","0","0","8","2.6","0","8","0","0"
"1","11","4","0","0","8","3.1","0","8","0","0"
"1","11","5","0","0","8","2.1","0","8","0","0"
"1","11","6","0","0","9","2.6","0","9","0","0"
"1","11","7","0","0","9","4.1","0","9","0","0"
"1","11","8","82","2","9","2.6","23.366","7.332","24.074","0.091"
"1","11","9","467","42","11","0","251.044","19.853","2011.45","1762.662"
"1","11","10","642","76","11","4.1","477.675","22.294","3992.601","3673.993"
"1","11","11","678","103","12","6.7","622.133","23.744","5239.679","4874.003"
"1","11","12","720","116","12","6.2","724.541","26.725","6011.774","5601.036"
"1","11","13","719","120","12","7.2","740.964","25.878","6174.332","5752.235"
"1","11","14","714","119","12","6.2","702.716","26.525","5836.581","5437.343"
"1","11","15","670","104","12","6.2","580.22","23.938","4881.975","4532.546"
"1","11","16","525","98","11","5.7","390.778","19.236","3275.989","2977.507"
"1","11","17","0","0","10","2.6","0","10","0","0"
"1","11","18","0","0","9","2.6","0","9","0","0"
"1","11","19","0","0","9","1.5","0","9","0","0"
"1","11","20","0","0","9","0","0","9","0","0"
"1","11","21","0","0","8","1.5","0","8","0","0"
"1","11","22","0","0","7","1.5","0","7","0","0"
"1","11","23","0","0","7","1.5","0","7","0","0"
"1","12","0","0","0","6","2.6","0","6","0","0"
"1","12","1","0","0","6","1.5","0","6","0","0"
"1","12","2","0","0","4","0","0","4","0","0"
"1","12","3","0","0","4","0","0","4","0","0"
"1","12","4","0","0","4","0","0","4","0","0"
"1","12","5","0","0","3","0","0","3","0","0"
"1","12","6","0","0","2","0","0","2","0","0"
"1","12","7","0","0","3","0","0","3","0","0"
"1","12","8","79","2","3","0","22.569","-0.929","23.325","0.074"
"1","12","9","462","43","6","1.5","250.115","12.143","2080.345","1827.7"
"1","12","10","636","77","9","0","475.549","30.293","3818.497","3504.884"
"1","12","11","695","99","10","1.5","630.135","31.661","5098.294","4739.362"
"1","12","12","714","117","12","2.1","721.89","35.145","5735.419","5342.474"
"1","12","13","737","115","12","3.1","750.868","33.687","6011.473","5600.755"
"1","12","14","732","115","12","2.6","713.362","34.003","5701.769","5310.861"
"1","12","15","688","101","13","2.1","590.346","32.639","4752.218","4408.05"
"1","12","16","502","100","13","2.1","382.598","25.807","3108.354","2814.77"
"1","12","17","0","0","11","2.6","0","11","0","0"
"1","12","18","0","0","10","3.6","0","10","0","0"
"1","12","19","0","0","9","2.1","0","9","0","0"
"1","12","20","0","0","8","3.1","0","8","0","0"
"1","12","21","0","0","8","0","0","8","0","0"
"1","12","22","0","0","7","0","0","7","0","0"
"1","12","23","0","0","6","0","0","6","0","0"
"1","13","0","0","0","5","0","0","5","0","0"
"1","13","1","0","0","4","0","0","4","0","0"
"1","13","2","0","0","4","0","0","4","0","0"
"1","13","3","0","0","2","0","0","2","0","0"
"1","13","4","0","0","3","0","0","3","0","0"
"1","13","5","0","0","4","0","0","4","0","0"
"1","13","6","0","0","4","1.5","0","4","0","0"
"1","13","7","0","0","4","0","0","4","0","0"
"1","13","8","84","2","4","0","23.713","0.167","25.43","0.123"
"1","13","9","493","40","5","0","258.894","14.163","2128.291","1873.073"
"1","13","10","625","79","6","0","471.709","27.417","3844.39","3530.045"
